class	score
0	-0.110977027
0	-0.111062511
0	-0.112054108
0	-0.112742947
0	-0.113762491
0	-0.113913883
0	-0.114412899
0	-0.11447209
0	-0.114799943
0	-0.114829123
0	-0.115374471
0	-0.115423225
0	-0.116061833
0	-0.116288173
0	-0.11631181
0	-0.116415831
0	-0.117017757
0	-0.117128658
0	-0.117481343
0	-0.118152123
0	-0.118207154
0	-0.119187412
0	-0.119459373
0	-0.119769166
0	-0.121002094
0	-0.12159305
0	-0.121782856
0	-0.121905465
0	-0.122732233
0	-0.122893105
0	-0.123173615
0	-0.124501087
0	-0.124534049
0	-0.12509202
0	-0.125852361
0	-0.127507681
0	-0.127593523
0	-0.128245429
0	-0.12857022
0	-0.129711119
0	-0.130101652
0	-0.130376494
0	-0.13055774
0	-0.13121685
0	-0.131607414
0	-0.132098072
0	-0.133621361
0	-0.134410462
0	-0.135146325
0	-0.135340089
0	-0.136995454
0	-0.138351418
0	-0.138474509
0	-0.140739872
0	-0.141372175
0	-0.141842722
0	-0.142104369
0	-0.143285722
0	-0.143399279
0	-0.143545122
0	-0.145715019
0	-0.147187231
0	-0.147536242
0	-0.148230197
0	-0.149318821
0	-0.149358319
0	-0.151088577
0	-0.151749105
0	-0.153049163
0	-0.153238095
0	-0.153383535
0	-0.154187544
0	-0.155617225
0	-0.155915325
0	-0.156216861
0	-0.156354052
0	-0.157514922
0	-0.158046047
0	-0.158775639
0	-0.159529643
0	-0.160792365
0	-0.160848402
0	-0.161639391
0	-0.161655954
0	-0.161967275
0	-0.162506426
0	-0.163798248
0	-0.165069007
0	-0.165093183
0	-0.165833287
0	-0.166024649
0	-0.167431434
0	-0.167674161
0	-0.167820487
0	-0.168683891
0	-0.170140361
0	-0.17021075
0	-0.170491348
0	-0.17125141
0	-0.171544978
0	-0.171811037
0	-0.171945735
0	-0.172485531
0	-0.172625674
0	-0.172685449
0	-0.172851722
0	-0.172928979
0	-0.173345189
0	-0.174962067
0	-0.175106632
0	-0.175939382
0	-0.177164124
0	-0.178468098
0	-0.17874239
0	-0.179074807
0	-0.179136496
0	-0.179324328
0	-0.179964012
0	-0.17996622
0	-0.180639787
0	-0.181413596
0	-0.181794222
0	-0.182222119
0	-0.182709975
0	-0.184170937
0	-0.186103737
0	-0.186435771
0	-0.187776535
0	-0.190338078
0	-0.19079041
0	-0.190930472
0	-0.191811491
0	-0.19215914
0	-0.192159742
0	-0.193336091
0	-0.193601342
0	-0.193723259
0	-0.193844606
0	-0.194545138
0	-0.194764518
0	-0.195115888
0	-0.196780479
0	-0.197212464
0	-0.198971172
0	-0.20135709
0	-0.201788583
0	-0.202296604
0	-0.203341246
0	-0.203582515
0	-0.20362742
0	-0.206550144
0	-0.207052628
0	-0.207642685
